episode_number,pitch_number,brand,idea,investment_amount_in_lakhs_inr_,debt_in_lakhs_inr,equity,anupam,ashneer,namita,aman,peyush,vineeta,ghazal,season,deal_status,domain
19,58,Ethik,Leather-free Shoes,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
19,59,WeSTOCK,Livestock health monitoring AI,60,0,10.0,N,Y,Y,Y,Y,N,N,1,Deal,"Tech, App & E-commerce"
19,60,KetoIndia,Customised Keto Diets for various medical issues,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Health, Wellness & Beauty"
19,61,Magic lock,LPG Cylinder lock,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
20,62,The State Plate,Delicacies,40,25,3.0,N,N,N,N,Y,N,N,1,Deal,Miscellaneous
20,63,Bakarmax,Comics & Animation,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
20,64,IN A CAN,Can Cocktails,10,0,10.0,Y,Y,Y,Y,Y,N,N,1,Deal,"Tech, App & E-commerce"
21,65,Get a Whey,Sugar-Free Icecream,10,0,15.0,N,Y,N,Y,N,Y,N,1,Deal,Miscellaneous
21,66,Sid07 Designs,Inventions,25,22,75.0,N,N,N,N,Y,N,N,1,Deal,Miscellaneous
21,67,The Quirky Nari,Customised Apparels,35,0,24.0,Y,N,N,N,N,Y,N,1,Deal,Fashion & Apparel
22,68,Hair Originals,Natural Hair Extensions,60,0,4.0,Y,Y,N,N,Y,N,N,1,Deal,"Tech, App & E-commerce"
22,69,Poo de Cologne,Toilet Spray with Essential Oils,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
22,70,Moonshine Meads,Meads,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
22,71,Falhari,Fresh Fruits,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
23,72,Namhya Foods,Ayurvedic Enriched Food,50,50,10.0,N,N,N,Y,N,N,N,1,Deal,Food & Beverage (F&B)
23,73,Urban Monkey,Streetwear,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
23,74,Guardian Gears,Motorcycle Luggage,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
23,75,Modern Myth,Bags,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
24,76,The Sass Bar,Gifts,50,0,35.0,Y,N,N,N,N,N,Y,1,Deal,Miscellaneous
24,77,KG Agrotech,Agricultural Innovations,10,20,40.0,N,N,N,N,Y,N,N,1,Deal,Miscellaneous
24,78,Nuskha Kitchen,Homemade Foods,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Food & Beverage (F&B)
25,79,PawsIndia,Dog Products,50,0,15.0,Y,N,N,N,N,N,N,1,Deal,Miscellaneous
25,80,Sunfox Technologies,Portable ECG Device,10,0,6.0,Y,N,Y,N,Y,Y,Y,1,Deal,Miscellaneous
25,81,Alpino,Roasted Peanut Products,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
26,82,Isak Fragrances,Perfumes,50,0,50.0,N,N,N,N,Y,N,N,1,Deal,Miscellaneous
26,83,Julaa Automation,Automatic Cradle,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Home & Lifestyle
26,84,Rare Planet,Handicrafts,65,0,30.0,N,N,Y,N,N,N,N,1,Deal,Miscellaneous
27,85,Theka Coffee,Coffee Products,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Food & Beverage (F&B)
27,86,Watt Technovations,Ventilated PPE Kits,10,0,4.0,Y,N,Y,N,Y,N,Y,1,Deal,Miscellaneous
27,87,Aliste Technologies,Automation Solutions,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Tech, App & E-commerce"
27,88,Insurance Samadhan,Insurance Solutions,10,0,4.0,N,N,N,N,Y,N,N,1,Deal,Miscellaneous
28,89,Humpy A2,Organic Milk Products,10,0,15.0,N,N,N,N,Y,Y,Y,1,Deal,"Health, Wellness & Beauty"
28,90,Kunafa World,Kunafa,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,50,0,30.0,N,N,N,N,Y,Y,Y,1,Deal,Miscellaneous
29,92,Wakao Foods,Jackfruit Products,75,0,21.0,N,N,Y,N,N,Y,Y,1,Deal,Miscellaneous
29,93,PDD Falcon,Stainless Steel Items,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Tech, App & E-commerce"
29,94,PlayBox TV,Streaming Platform,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Tech, App & E-commerce"
30,95,Sippline Drinking Shields,Portable Glass Attachment,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
30,96,Kabaddi Adda,All-Kabaddi App,80,0,6.0,N,N,Y,N,N,Y,N,1,Deal,"Tech, App & E-commerce"
30,97,Shades of Spring,Flowers,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
30,98,Scholify,Scholarship Platform,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Tech, App & E-commerce"
31,99,Scrapshala,Handmade Reusable Scrap Materials,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
31,100,Sabjikothi,Vegetables Storage,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
31,101,AyuRythm,Ayurvedic Wellness App,75,0,2.68,N,N,N,Y,N,N,N,1,Deal,"Tech, App & E-commerce"
31,102,Astrix,Smart Locks,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
32,103,Thea and Sid,Proposal Solutions,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
32,104,Experential Etc,Technology layered Advertisement Services,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Tech, App & E-commerce"
32,105,GrowFitter,Rewards App,50,0,2.0,N,N,N,Y,N,N,N,1,Deal,"Tech, App & E-commerce"
32,106,Med Tech,Portable opthalmic devices,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
33,107,Colour Me Mad,Insoles,40,0,25.0,N,N,Y,N,N,N,N,1,Deal,Miscellaneous
33,108,Mavi's,Vegan Fermented Food,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Food & Beverage (F&B)
33,109,Tweek Labs,Sportswear,60,0,10.0,Y,Y,N,N,Y,N,N,1,Deal,Miscellaneous
33,110,Proxgy,VR,10,0,10.0,N,Y,N,N,Y,N,N,1,Deal,Miscellaneous
34,111,Nomad Food Project,Bacon Jams,40,0,20.0,N,Y,Y,N,N,Y,Y,1,Deal,Miscellaneous
34,112,Twee in One,Reversible and convertible clothing,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Fashion & Apparel
34,113,Green Protein,Plant-Based Protein,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
34,114,On2Cook,Fastest Cooking Device,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
35,115,Jain Shikanji,Lemonade,40,0,30.0,Y,Y,N,Y,N,Y,N,1,Deal,Miscellaneous
35,116,Woloo,Washroom Finder,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
35,117,Elcare India,Carenting for Elders,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Home & Lifestyle
